ICAR_NOM_RUE
Aux Tiennes
Avenue des Bouleaux
Avenue des Cerisiers
Avenue des Combattants
Avenue des Pruniers
Avenue du Centenaire
Bois Nicaise
Chaussée de Louvain
Chaussée de Namur
Chemin d'Agbiermont
Chemin de la Petite Chapelle
Chemin de la Sciure
Chemin de la Traverse
Chemin des Prés
Chemin des Ramiers
Chemin des Soeurs
Chemin du Grand Champ
Chemin du Petit Brou
Chemin du Vivier Saint-Laurent
Chemin Goffin
Chemin Jacotia
Chemin Saint-Roch
Ferme de l'Espinette
Ferme Gérardmont
Impasse de Hamme
La Valduc
La Verte Voie
Le Petit Champ
Place Communale
Place de la Bruyère
Place du Moulin
Place Saint-Martin
Rond-Point Saint-Martin
Rue Albert-Edouard Janssen
Rue Alfred Scheers
Rue Auguste Goemans
Rue Baron Emmanuel Descamps
Rue Basse Collin
Rue Berward
Rue Bogaerts
Rue Champ d'Oiseaux
Rue Condorcet
Rue de Beauvechain
Rue de Bierbeek
Rue de Gaët
Rue de Guertechin
Rue de la Bruyère Saint-Martin
Rue de la Cabine
Rue de la Cabourse
Rue de la Chaussée
Rue de la Comtesse Alpayde
Rue de la Cure
Rue de la Forêt de Meerdael
Rue de la Gare
Rue de la Gloriette
Rue de la Justice
Rue de la Liberté
Rue de la Néthen
Rue de la Source
Rue de la Station
Rue de la Teinturerie
Rue de la Tourette
Rue de l'Ecluse
Rue de l'Ecole
Rue de l'Eglise Saint-Sulpice
Rue de l'Etang
Rue de Louvain
Rue du Marothon
Rue de Mélin
Rue de Mollendael
Rue de Plancy
Rue de Pymont
Rue de Schoor
Rue de Sclimpré
Rue de Tourinnes
Rue de Valduc
Rue de Wahenge
Rue de Wavre
Rue Decoster
Rue Delahaye
Rue Delherse
Rue Deprez
Rue des Acacias
Rue des Alouettes
Rue des Anges
Rue des Brasseries
Rue des Bruyères
Rue des Burettes
Rue des Frênes
Rue des Merisiers
Rue des Messes
Rue des Ormes
Rue des Salamandres
Rue des Trois Héros
Rue des Vallées
Rue Dewarichet
Rue d'Hougaerde
Rue Draye
Rue du Bois du Curé
Rue du Broux
Rue du Brugeron
Rue du Chabut
Rue du Champ de la Planche
Rue du Cimetière
Rue du Culot
Rue du Grand Brou
Rue du Grand Roya
Rue du Jeune Homme
Rue du Long Pré
Rue du Monty
Rue du Moulin
Rue du Moulin à Eau
Rue du Petit Jean
Rue du Petit Paradis
Rue du Pré de Litrange
Rue du Prince
Rue du Rivage
Rue du Ry Saint-Martin
Rue du Stoquoy
Rue du Vallon
Rue du Vénérable
Rue du Village
Rue Duchêne
Rue Elie Degueldre
Rue Gabriel Marcelier
Rue Gauthier
Rue Hannières Decock
Rue Isaac
Rue Jules Coisman
Rue Leeman
Rue Les Claines
Rue Logis Militaire
Rue Longue
Rue Marcoen
Rue Max Vander Linden
Rue Neuve
Rue Poisman
Rue René Ménada
Rue Ryndyck
Rue Saint-Corneille
Rue Schayes
Rue Valise
Rue Wahenge
Ruelle Baillieux
Ruelle Brasseur
Ruelle Chapelle Saint-Cornélis
Ruelle Clausse
Ruelle Collin
Ruelle de Cayberg
Ruelle Devroue
Ruelle Lambert
Ruelle Massart
Ruelle Mottart
Ruelle Saint-Nicaise
Sentier de l'Eglise
Sentier de Louvain
Sentier de Mille
Sentier du Moulin à Eau
Vieux Chemin de Louvain
Vieux Chemin de Namur
Allée Saint-Martin
